Timestamp, Engine Load (%), RPM, Coolant Temp, Intake Temp, Throttle POS, Intake Press., Speed, Ambiant Temp, Barometric Press., Fuel Level, Evap Vapor Press., Accel. X, Accel. Y, Accel. Z, Gyro. X, Gyro. Y, Gyro. Z
2023-03-20 16:52:13, 33.73 percent, 825.0 revolutions_per_minute, 65 degC, 17 degC, 13.72549019607843 percent, 32 kilopascal, 0.0 kph, 12 degC, 99 kilopascal, 45.490196078431374 percent, 73.0 pascal, 0.68, -0.63, 8.71, -0.00, -0.02, -0.01
2023-03-20 16:52:15, 33.33 percent, 823.0 revolutions_per_minute, 65 degC, 17 degC, 13.72549019607843 percent, 32 kilopascal, 0.0 kph, 12 degC, 99 kilopascal, 45.490196078431374 percent, -7.25 pascal, 0.68, -0.54, 8.59, -0.01, -0.02, -0.01
2023-03-20 16:52:16, 33.73 percent, 820.0 revolutions_per_minute, 65 degC, 17 degC, 13.72549019607843 percent, 33 kilopascal, 0.0 kph, 12 degC, 99 kilopascal, 46.27450980392157 percent, 73.0 pascal, 0.59, -0.55, 8.77, -0.00, -0.02, -0.01
2023-03-20 16:52:18, 33.73 percent, 810.0 revolutions_per_minute, 65 degC, 17 degC, 13.72549019607843 percent, 33 kilopascal, 0.0 kph, 12 degC, 99 kilopascal, 45.09803921568628 percent, 73.0 pascal, 0.69, -0.57, 8.70, 0.00, -0.02, -0.01
2023-03-20 16:52:19, 33.73 percent, 817.0 revolutions_per_minute, 65 degC, 17 degC, 13.72549019607843 percent, 33 kilopascal, 0.0 kph, 12 degC, 99 kilopascal, 45.490196078431374 percent, 73.0 pascal, 0.74, -0.60, 8.64, -0.00, -0.02, -0.01
2023-03-20 16:52:20, 33.73 percent, 804.0 revolutions_per_minute, 65 degC, 17 degC, 13.72549019607843 percent, 33 kilopascal, 0.0 kph, 12 degC, 99 kilopascal, 46.27450980392157 percent, 73.0 pascal, 0.62, -0.60, 8.63, -0.00, -0.02, -0.01
2023-03-20 16:52:22, 33.73 percent, 822.0 revolutions_per_minute, 65 degC, 17 degC, 13.72549019607843 percent, 33 kilopascal, 0.0 kph, 12 degC, 99 kilopascal, 45.490196078431374 percent, 73.0 pascal, 0.62, -0.58, 8.81, -0.01, -0.02, -0.01
2023-03-20 16:52:23, 33.33 percent, 816.0 revolutions_per_minute, 65 degC, 17 degC, 13.72549019607843 percent, 32 kilopascal, 0.0 kph, 12 degC, 99 kilopascal, 45.09803921568628 percent, -7.25 pascal, 0.71, -0.60, 8.54, -0.01, -0.02, -0.01
2023-03-20 16:52:24, 33.33 percent, 819.0 revolutions_per_minute, 65 degC, 17 degC, 13.72549019607843 percent, 32 kilopascal, 0.0 kph, 12 degC, 99 kilopascal, 45.09803921568628 percent, -7.25 pascal, 0.65, -0.57, 8.54, -0.00, -0.02, -0.01
2023-03-20 16:52:26, 33.73 percent, 805.0 revolutions_per_minute, 66 degC, 17 degC, 13.72549019607843 percent, 33 kilopascal, 0.0 kph, 12 degC, 99 kilopascal, 45.09803921568628 percent, -7.25 pascal, 0.63, -0.57, 8.78, -0.01, -0.02, -0.01
2023-03-20 16:52:27, 33.33 percent, 802.0 revolutions_per_minute, 66 degC, 17 degC, 13.72549019607843 percent, 32 kilopascal, 0.0 kph, 12 degC, 99 kilopascal, 46.27450980392157 percent, -7.25 pascal, 0.69, -0.55, 8.56, -0.00, -0.02, -0.01
2023-03-20 16:52:28, 33.73 percent, 805.0 revolutions_per_minute, 66 degC, 17 degC, 13.72549019607843 percent, 33 kilopascal, 0.0 kph, 12 degC, 99 kilopascal, 46.27450980392157 percent, -7.25 pascal, 0.70, -0.53, 8.70, -0.01, -0.02, -0.01
2023-03-20 16:52:30, 45.1 percent, 747.0 revolutions_per_minute, 66 degC, 17 degC, 14.509803921568627 percent, 45 kilopascal, 0.0 kph, 12 degC, 99 kilopascal, 45.490196078431374 percent, 73.0 pascal, 0.66, -0.60, 8.51, -0.00, -0.02, -0.01
2023-03-20 16:52:31, 43.53 percent, 848.0 revolutions_per_minute, 66 degC, 17 degC, 14.509803921568627 percent, 43 kilopascal, 0.0 kph, 12 degC, 99 kilopascal, 46.27450980392157 percent, 73.0 pascal, 0.70, -0.50, 8.66, -0.01, -0.02, -0.01
2023-03-20 16:52:32, 42.35 percent, 769.0 revolutions_per_minute, 66 degC, 17 degC, 14.117647058823529 percent, 41 kilopascal, 2.0 kph, 12 degC, 99 kilopascal, 49.80392156862745 percent, -7.25 pascal, 0.62, -0.54, 8.71, -0.01, -0.02, -0.02
2023-03-20 16:52:34, 43.53 percent, 792.0 revolutions_per_minute, 66 degC, 17 degC, 14.117647058823529 percent, 43 kilopascal, 3.0 kph, 12 degC, 99 kilopascal, 42.745098039215684 percent, 73.0 pascal, 0.77, -0.53, 8.55, -0.00, -0.02, -0.01
2023-03-20 16:52:35, 43.14 percent, 810.0 revolutions_per_minute, 66 degC, 17 degC, 14.509803921568627 percent, 42 kilopascal, 3.0 kph, 12 degC, 99 kilopascal, 54.11764705882353 percent, 73.0 pascal, 0.61, -0.53, 8.78, -0.00, -0.02, -0.01
2023-03-20 16:52:36, 43.53 percent, 830.0 revolutions_per_minute, 66 degC, 17 degC, 14.509803921568627 percent, 42 kilopascal, 3.0 kph, 12 degC, 99 kilopascal, 45.09803921568628 percent, 73.0 pascal, 0.64, -0.52, 8.67, -0.00, -0.02, -0.01
2023-03-20 16:52:38, 43.53 percent, 838.0 revolutions_per_minute, 66 degC, 17 degC, 14.509803921568627 percent, 42 kilopascal, 3.0 kph, 12 degC, 99 kilopascal, 49.01960784313726 percent, 73.0 pascal, 0.67, -0.61, 8.56, -0.00, -0.02, -0.01
2023-03-20 16:52:39, 43.53 percent, 856.0 revolutions_per_minute, 66 degC, 17 degC, 14.509803921568627 percent, 42 kilopascal, 3.0 kph, 12 degC, 99 kilopascal, 51.372549019607845 percent, -7.25 pascal, 0.60, -0.55, 8.62, -0.01, -0.01, -0.02
2023-03-20 16:52:40, 43.92 percent, 864.0 revolutions_per_minute, 66 degC, 17 degC, 14.509803921568627 percent, 43 kilopascal, 3.0 kph, 12 degC, 99 kilopascal, 51.76470588235294 percent, 73.0 pascal, 0.77, -0.57, 8.56, -0.00, -0.02, -0.01
2023-03-20 16:52:42, 43.92 percent, 876.0 revolutions_per_minute, 66 degC, 18 degC, 14.509803921568627 percent, 43 kilopascal, 3.0 kph, 12 degC, 99 kilopascal, 51.372549019607845 percent, -7.25 pascal, 0.74, -0.53, 8.47, -0.00, -0.02, -0.01
2023-03-20 16:52:43, 43.92 percent, 870.0 revolutions_per_minute, 66 degC, 18 degC, 14.509803921568627 percent, 43 kilopascal, 4.0 kph, 12 degC, 99 kilopascal, 54.90196078431372 percent, -7.25 pascal, 0.61, -0.48, 8.66, -0.00, -0.02, -0.01
2023-03-20 16:52:44, 43.53 percent, 884.0 revolutions_per_minute, 66 degC, 18 degC, 14.509803921568627 percent, 42 kilopascal, 5.0 kph, 12 degC, 99 kilopascal, 51.372549019607845 percent, -7.25 pascal, 0.61, -0.66, 8.58, -0.00, -0.02, -0.01
2023-03-20 16:52:46, 44.31 percent, 869.0 revolutions_per_minute, 66 degC, 18 degC, 14.901960784313726 percent, 43 kilopascal, 4.0 kph, 12 degC, 99 kilopascal, 41.96078431372549 percent, -7.25 pascal, 0.49, -0.55, 8.46, 0.00, -0.02, -0.01
2023-03-20 16:52:47, 45.1 percent, 878.0 revolutions_per_minute, 66 degC, 18 degC, 14.901960784313726 percent, 44 kilopascal, 3.0 kph, 12 degC, 99 kilopascal, 54.11764705882353 percent, 73.0 pascal, 0.63, -0.65, 8.88, -0.00, -0.02, -0.01
2023-03-20 16:52:48, 43.53 percent, 881.0 revolutions_per_minute, 67 degC, 18 degC, 14.901960784313726 percent, 42 kilopascal, 7.0 kph, 12 degC, 99 kilopascal, 36.86274509803921 percent, -7.25 pascal, 0.78, -0.98, 8.94, -0.01, -0.02, -0.01
2023-03-20 16:52:50, 43.14 percent, 888.0 revolutions_per_minute, 67 degC, 18 degC, 14.901960784313726 percent, 42 kilopascal, 8.0 kph, 12 degC, 99 kilopascal, 43.92156862745098 percent, -7.25 pascal, 0.65, -0.83, 8.78, 0.00, -0.01, -0.01
2023-03-20 16:52:51, 41.96 percent, 889.0 revolutions_per_minute, 67 degC, 18 degC, 14.509803921568627 percent, 41 kilopascal, 8.0 kph, 12 degC, 99 kilopascal, 50.588235294117645 percent, 73.0 pascal, 0.64, -0.79, 8.89, -0.01, -0.00, -0.01
2023-03-20 16:52:52, 43.53 percent, 888.0 revolutions_per_minute, 67 degC, 18 degC, 14.901960784313726 percent, 43 kilopascal, 3.0 kph, 12 degC, 99 kilopascal, 50.98039215686274 percent, -7.25 pascal, 0.38, -0.58, 8.34, -0.02, -0.07, -0.02
2023-03-20 16:52:54, 44.31 percent, 870.0 revolutions_per_minute, 67 degC, 18 degC, 14.901960784313726 percent, 44 kilopascal, 0.0 kph, 12 degC, 99 kilopascal, 40.3921568627451 percent, 73.0 pascal, 0.58, -0.11, 8.84, 0.01, -0.01, -0.01
2023-03-20 16:52:55, 49.41 percent, 1104.0 revolutions_per_minute, 67 degC, 18 degC, 16.470588235294116 percent, 49 kilopascal, 2.0 kph, 12 degC, 99 kilopascal, 50.98039215686274 percent, 73.0 pascal, 0.51, -0.17, 8.73, 0.01, -0.00, -0.01
2023-03-20 16:52:56, 66.67 percent, 1412.0 revolutions_per_minute, 68 degC, 18 degC, 18.431372549019606 percent, 66 kilopascal, 7.0 kph, 12 degC, 99 kilopascal, 52.94117647058823 percent, 73.0 pascal, 1.21, -0.02, 8.47, -0.01, -0.03, 0.00
2023-03-20 16:52:58, 63.92 percent, 1592.0 revolutions_per_minute, 68 degC, 18 degC, 18.431372549019606 percent, 62 kilopascal, 13.0 kph, 12 degC, 99 kilopascal, 52.94117647058823 percent, -7.25 pascal, 0.77, 0.00, 8.81, 0.00, -0.02, -0.02
2023-03-20 16:52:59, 48.63 percent, 1825.0 revolutions_per_minute, 68 degC, 18 degC, 17.254901960784313 percent, 47 kilopascal, 17.0 kph, 12 degC, 99 kilopascal, 53.333333333333336 percent, -7.25 pascal, 0.49, 0.11, 8.50, 0.02, -0.02, -0.05
2023-03-20 16:53:00, 37.25 percent, 1201.0 revolutions_per_minute, 68 degC, 18 degC, 14.509803921568627 percent, 35 kilopascal, 18.0 kph, 12 degC, 99 kilopascal, 53.333333333333336 percent, 73.0 pascal, 0.79, -0.01, 8.68, 0.02, -0.01, -0.05
2023-03-20 16:53:02, 29.8 percent, 1115.0 revolutions_per_minute, 68 degC, 18 degC, 14.117647058823529 percent, 29 kilopascal, 16.0 kph, 12 degC, 99 kilopascal, 53.333333333333336 percent, -7.25 pascal, 0.75, 0.83, 8.72, 0.02, -0.01, -0.05
2023-03-20 16:53:03, 32.55 percent, 916.0 revolutions_per_minute, 69 degC, 18 degC, 14.509803921568627 percent, 33 kilopascal, 11.0 kph, 12 degC, 99 kilopascal, 40.3921568627451 percent, -7.25 pascal, 0.55, 0.85, 8.69, 0.03, -0.01, -0.02
2023-03-20 16:53:04, 41.18 percent, 928.0 revolutions_per_minute, 69 degC, 18 degC, 14.901960784313726 percent, 41 kilopascal, 5.0 kph, 12 degC, 99 kilopascal, 30.980392156862745 percent, 73.0 pascal, 0.57, 1.05, 8.42, 0.01, -0.02, -0.02
2023-03-20 16:53:05, 41.96 percent, 939.0 revolutions_per_minute, 69 degC, 18 degC, 14.901960784313726 percent, 41 kilopascal, 4.0 kph, 12 degC, 99 kilopascal, 40.3921568627451 percent, 73.0 pascal, 0.91, 0.63, 8.51, -0.02, -0.04, -0.04
2023-03-20 16:53:07, 41.18 percent, 869.0 revolutions_per_minute, 69 degC, 18 degC, 14.509803921568627 percent, 40 kilopascal, 1.0 kph, 12 degC, 99 kilopascal, 44.31372549019608 percent, 73.0 pascal, 0.50, 0.73, 8.73, -0.10, -0.03, -0.06
2023-03-20 16:53:08, 41.18 percent, 858.0 revolutions_per_minute, 69 degC, 18 degC, 14.509803921568627 percent, 41 kilopascal, 1.0 kph, 12 degC, 99 kilopascal, 53.333333333333336 percent, 73.0 pascal, 0.82, 0.58, 8.85, -0.02, -0.01, -0.06
